"date","gdp.per.capita","inequality","cars","rentalcars","taxis","buses","motorbikes","other","bus.u","mrt.u","top","bottom","lrt.u"
1995,9193.2770182849,3.88942141481323,342245,5144,16517,10723,129587,137913,3009,740,113402.46,29156.64,0
1996,10668.798587757,4.02727813997797,362142,5451,16857,10998,132344,140512,3118,850,121752.27,30231.9,0
1997,12874.760439167,4.00299795641362,373345,6152,16933,11240,132629,142905,3116,911,126460.79,31591.52,0
1998,14575.295041675,4.36162985797175,370804,6536,17886,11429,133375,141051,3121,946,130964.13,30026.42,0
1999,16288.934129724,5.1242327135194,378024,7112,18029,11827,134346,139473,3213,986,139277.67,27180.2,27
2000,18373.714325393,5.52979045382669,386780,8438,18327,12569,131937,134756,3251,1047,156177.54,28242.94,39
2001,21608.795187651,7.03450144588517,398787,8857,18798,12902,131869,137157,3281,1071,159140.26,22622.82,41
2002,24998.911765625,6.93900788543533,398166,8423,19106,12992,132318,135951,3197,1081,156838.44,22602.43,39
2003,26660.412467053,6.34774714299552,399923,7803,19384,12951,135649,135333,2992,1171,159243.33,25086.59,50
2004,27180.921961603,5.73535583759813,412015,7455,20407,13173,137029,137316,2805,1270,161198.37,28106.08,55
2005,22757.938257871,5.3671244459812,432827,7756,22383,13494,139434,139098,2779,1321,170744.33,31813,69
2006,22204.633491117,5.93819205693614,465482,9235,23334,14120,142736,144466,2833,1408,185295.82,31204.08,74
2007,24069.366814629,6.12291118834613,505987,11054,24446,14530,144340,150979,2932,1527,208443.98,34043.28,79
2008,21798.39572729,6.9748530100619,540455,12391,24300,15327,146120,156089,3087,1698,202059.19,28969.67,88
2009,21913.704761058,6.37712724651279,566608,12763,24702,16023,147215,158207,3047,1782,192490.78,30184.56,90
2010,22552.734080851,7.0911654769455,584399,13347,26073,16309,148160,157541,3199,2069,210202,29642.8,100
2011,25756.955518306,7.27545825702717,592361,13919,27051,17046,146559,159768,3385,2295,216514,29759.5,111
2012,27900.780612422,7.45831129795623,605149,14862,28210,17162,144110,160417,3481,2525,222826,29876.2,124
2013,31643.773699968,7.63974140546596,607292,16396,27695,17509,144934,160344,3601,2623,229138,29992.9,132
2014,37670.469196692,7.81976512474427,600176,18847,28736,17554,145026,161698,3751,2762,235450,30109.6,137
